index,time,acute angle,Type
0,3400,13,bouncing
1,3700,13,slow
2,3600,15,slow
3,3700,13,slow
4,4000,15,slow
5,3400,17,slow
6,2900,12,fast
7,4800,16,slow
8,4400,16,slow
9,4700,16,slow
10,3700,16,slow
11,2700,16,fast
12,3400,15,slow
13,2800,13,fast
14,4100,22,slow
15,3600,13,slow
16,2700,9,fast
17,4400,14,bouncing
18,2500,9,fast
19,4900,22,slow
20,2900,7,fast
21,2800,11,fast
22,4400,17,slow
23,4600,16,slow
24,3100,8,slow
25,5100,12,slow
26,6900,47,bouncing
27,6200,26,bouncing
28,7500,42,bouncing
29,6800,38,bouncing
30,10400,59,bouncing
31,4300,29,bouncing
32,6700,32,bouncing
33,5600,30,bouncing
34,4800,34,bouncing
35,5500,29,bouncing
36,5000,31,bouncing
37,4200,31,bouncing
38,3500,17,bouncing
39,5500,33,bouncing
40,5600,36,bouncing
41,4100,34,bouncing
42,5000,26,bouncing
43,6200,32,bouncing
44,4900,31,bouncing
45,6200,41,bouncing
46,5600,24,bouncing
47,5800,31,bouncing
48,5900,37,bouncing
49,4700,32,bouncing
50,6000,33,bouncing
51,5700,30,bouncing
52,5800,33,bouncing
53,5200,31,bouncing
54,4000,26,bouncing
55,5600,33,bouncing
56,7000,38,bouncing
57,2900,7,fast
58,2800,6,fast
59,2700,6,fast
60,2700,7,fast
61,2800,6,fast
62,2700,6,fast
63,2900,6,fast
64,2900,8,fast
65,2800,6,fast
66,3100,7,fast
67,2900,6,fast
68,2900,6,fast
69,2800,6,fast
70,2800,6,fast
71,3000,5,fast
72,3100,8,fast
73,2800,7,fast
74,2900,7,fast
75,2800,6,fast
76,2800,7,fast
77,2900,7,fast
78,2900,5,fast
79,2900,7,fast
80,2900,7,fast
81,2700,6,fast
82,3000,5,fast
83,3000,6,fast
84,2800,6,fast
85,3000,7,slow
86,2900,5,fast
87,3000,4,fast
88,2800,9,fast
89,2900,8,fast
90,2800,6,fast
91,2900,8,fast
92,3000,7,fast
93,2800,6,fast
94,2900,6,fast
95,2800,7,fast
96,2900,5,fast
97,2700,4,fast
98,2800,6,fast
99,2700,5,fast
100,2800,4,fast
101,2900,7,fast
102,3000,6,fast
103,2800,4,fast
104,2800,5,fast
105,2700,6,fast
106,2800,4,fast
107,2800,7,fast
108,2800,6,fast
109,2800,6,fast
110,2800,7,fast
111,2800,6,fast
112,2800,7,fast
113,2700,6,fast
114,2800,8,fast
115,2700,6,fast
116,2700,7,fast
117,2600,6,fast
118,4200,19,slow
119,4200,16,slow
120,4200,16,slow
121,4000,16,slow
122,4000,15,slow
123,4300,17,slow
124,4500,16,slow
125,3900,16,slow
126,4300,12,slow
127,3200,8,slow
128,3300,10,slow
129,3300,10,slow
130,3600,11,slow
131,3300,9,slow
132,3700,12,slow
133,3500,11,slow
134,3100,10,slow
135,3600,12,slow
136,3500,11,slow
137,3700,11,slow
138,3200,11,slow
139,3200,9,slow
140,3200,8,slow
141,3400,9,slow
142,4000,9,slow
143,3800,13,slow
144,3400,11,slow
145,3100,9,slow
146,3500,11,slow
147,3200,8,slow
148,3600,10,slow
149,3400,11,slow
150,3300,11,slow
151,4100,8,slow
152,4200,9,slow
153,3900,11,slow
154,4100,8,slow
155,3400,9,slow
156,3600,8,slow
157,3000,5,slow
158,3700,6,slow
159,4200,9,slow
160,4600,11,slow
161,3800,12,slow
162,3400,11,slow
163,3000,7,slow
164,3300,10,slow
165,3500,10,slow
166,4100,11,slow
167,3700,9,slow
168,4800,13,slow
169,3900,11,slow
170,4400,12,slow
171,4100,13,slow
172,4500,18,slow
173,4600,12,slow
174,6700,22,bouncing
175,7100,34,bouncing
176,5700,26,bouncing
177,6400,37,bouncing
178,7000,30,bouncing
179,7700,35,bouncing
180,7300,39,bouncing
181,6400,35,bouncing
182,6900,44,bouncing
183,6900,42,bouncing
184,5900,30,bouncing
185,4900,25,bouncing
186,4800,31,bouncing
187,6300,34,bouncing
188,6000,36,bouncing
189,6500,33,bouncing
190,6000,37,bouncing
191,6100,35,bouncing
192,6300,35,bouncing
193,5700,29,bouncing
194,6200,32,bouncing
195,5900,35,bouncing
196,7500,40,bouncing
197,6900,34,bouncing
198,7200,38,bouncing
199,6800,32,bouncing
200,6600,39,bouncing
201,5300,31,bouncing
202,5800,36,bouncing
203,7500,39,bouncing
204,5900,35,bouncing
205,6000,32,bouncing
206,2800,6,fast
207,2800,7,fast
208,2600,5,fast
209,2800,6,fast
210,2900,6,fast
211,2700,6,fast
212,2800,5,fast
213,2700,6,fast
214,2900,6,fast
215,3000,7,slow
216,2800,6,fast
217,3000,9,slow
218,2700,7,fast
219,3000,8,slow
220,2900,7,fast
221,2700,6,fast
222,2800,6,fast
223,2800,6,fast
224,2700,6,fast
225,2600,5,fast
226,2700,5,fast
227,2600,5,fast
228,2700,6,fast
229,2900,7,fast
230,2600,6,fast
231,2800,5,fast
232,2900,6,fast
233,2600,5,fast
234,2600,4,fast
235,2700,7,fast
236,2800,5,fast
237,2800,7,fast
238,2700,6,fast
239,2600,7,fast
240,2200,10,fast
241,4900,12,fast
242,3200,7,slow
243,7100,35,bouncing
244,2900,8,fast
245,2900,9,fast
246,2900,8,fast
247,3100,10,fast
248,3300,10,fast
249,3800,11,fast
250,4100,16,fast
251,2800,8,fast
252,2900,8,fast
253,2900,8,fast
254,2900,7,fast
255,2900,8,fast
256,3700,11,bouncing
257,3700,14,fast
258,2800,10,fast
259,2900,10,fast
260,2800,9,fast
261,2900,8,fast
262,2900,7,fast
263,2800,10,fast
264,3000,10,fast
265,3000,9,fast
