index,time,Type
0,6700,bouncing
1,7100,bouncing
2,5700,bouncing
3,6400,bouncing
4,7000,bouncing
5,7700,bouncing
6,7300,bouncing
7,6400,bouncing
8,6900,bouncing
9,6900,bouncing
10,5900,bouncing
11,4900,bouncing
12,4800
13,6300,bouncing
14,6000,bouncing
15,6500,bouncing
16,6000,bouncing
17,6100,bouncing
18,6300,bouncing
19,5700,bouncing
20,6200,bouncing
21,5900
22,7500,bouncing
23,6900,bouncing
24,7200,bouncing
25,6800,bouncing
26,6600,bouncing
27,5300,bouncing
28,5800,bouncing
29,7500,bouncing
30,6900,bouncing
31,6000,bouncing
